date,topic,heat_score,article_count
2024-01-01,AI监管与伦理,0.558,11
2024-01-01,气候变化政策,0.448,7
2024-01-01,全球芯片竞争,0.519,19
2024-01-02,AI监管与伦理,0.361,15
2024-01-02,气候变化政策,0.317,17
2024-01-02,全球芯片竞争,0.516,15
2024-01-03,AI监管与伦理,0.519,9
2024-01-03,气候变化政策,0.403,10
2024-01-03,全球芯片竞争,0.672,18
2024-01-04,AI监管与伦理,0.702,5
2024-01-04,气候变化政策,0.685,8
2024-01-04,全球芯片竞争,0.638,6
2024-01-05,AI监管与伦理,0.633,7
2024-01-05,气候变化政策,0.573,7
2024-01-05,全球芯片竞争,0.57,18
2024-01-06,AI监管与伦理,0.587,19
2024-01-06,气候变化政策,0.573,10
2024-01-06,全球芯片竞争,0.534,16
2024-01-07,AI监管与伦理,0.565,16
2024-01-07,气候变化政策,0.368,6
2024-01-07,全球芯片竞争,0.356,14
2024-01-08,AI监管与伦理,0.661,18
2024-01-08,气候变化政策,0.587,8
2024-01-08,全球芯片竞争,0.464,19
2024-01-09,AI监管与伦理,0.648,5
2024-01-09,气候变化政策,0.599,18
2024-01-09,全球芯片竞争,0.447,11
2024-01-10,AI监管与伦理,0.784,15
2024-01-10,气候变化政策,0.711,6
2024-01-10,全球芯片竞争,0.575,12
2024-01-11,AI监管与伦理,0.768,7
2024-01-11,气候变化政策,0.339,14
2024-01-11,全球芯片竞争,0.416,12
2024-01-12,AI监管与伦理,0.655,12
2024-01-12,气候变化政策,0.557,8
2024-01-12,全球芯片竞争,0.667,18
2024-01-13,AI监管与伦理,0.446,9
2024-01-13,气候变化政策,0.6,9
2024-01-13,全球芯片竞争,0.477,7
2024-01-14,AI监管与伦理,0.613,9
2024-01-14,气候变化政策,0.703,9
2024-01-14,全球芯片竞争,0.546,13
2024-01-15,AI监管与伦理,0.454,8
2024-01-15,气候变化政策,0.513,7
2024-01-15,全球芯片竞争,0.543,9
2024-01-16,AI监管与伦理,0.804,13
2024-01-16,气候变化政策,0.451,11
2024-01-16,全球芯片竞争,0.669,18
2024-01-17,AI监管与伦理,0.484,11
2024-01-17,气候变化政策,0.636,11
2024-01-17,全球芯片竞争,0.665,10
2024-01-18,AI监管与伦理,0.528,5
2024-01-18,气候变化政策,0.662,8
2024-01-18,全球芯片竞争,0.637,12
2024-01-19,AI监管与伦理,0.535,9
2024-01-19,气候变化政策,0.432,18
2024-01-19,全球芯片竞争,0.485,11
2024-01-20,AI监管与伦理,0.909,6
2024-01-20,气候变化政策,0.318,12
2024-01-20,全球芯片竞争,0.809,9
2024-01-21,AI监管与伦理,0.95,14
2024-01-21,气候变化政策,0.338,13
2024-01-21,全球芯片竞争,0.597,10
2024-01-22,AI监管与伦理,0.73,13
2024-01-22,气候变化政策,0.524,9
2024-01-22,全球芯片竞争,0.525,17
2024-01-23,AI监管与伦理,0.705,10
2024-01-23,气候变化政策,0.347,8
2024-01-23,全球芯片竞争,0.663,12
2024-01-24,AI监管与伦理,0.784,18
2024-01-24,气候变化政策,0.611,11
2024-01-24,全球芯片竞争,0.581,6
2024-01-25,AI监管与伦理,0.728,5
2024-01-25,气候变化政策,0.495,13
2024-01-25,全球芯片竞争,0.592,8
2024-01-26,AI监管与伦理,0.576,17
2024-01-26,气候变化政策,0.329,7
2024-01-26,全球芯片竞争,0.917,16
2024-01-27,AI监管与伦理,0.881,11
2024-01-27,气候变化政策,0.602,15
2024-01-27,全球芯片竞争,0.629,17
2024-01-28,AI监管与伦理,0.574,10
2024-01-28,气候变化政策,0.67,12
2024-01-28,全球芯片竞争,0.812,8
2024-01-29,AI监管与伦理,0.776,17
2024-01-29,气候变化政策,0.452,9
2024-01-29,全球芯片竞争,0.836,8
2024-01-30,AI监管与伦理,0.915,14
2024-01-30,气候变化政策,0.375,9
2024-01-30,全球芯片竞争,0.858,11
2024-01-31,AI监管与伦理,0.712,18
2024-01-31,气候变化政策,0.573,15
2024-01-31,全球芯片竞争,0.941,12
