date,avg_sentiment,positive_ratio,negative_ratio,neutral_ratio,total_articles
2024-01-01,-0.019,0.494,0.304,0.202,129
2024-01-02,0.082,0.525,0.284,0.192,98
2024-01-03,0.283,0.585,0.243,0.172,81
2024-01-04,0.176,0.553,0.265,0.182,105
2024-01-05,0.301,0.59,0.24,0.17,107
2024-01-06,0.339,0.602,0.232,0.166,144
2024-01-07,0.556,0.667,0.189,0.144,108
2024-01-08,0.593,0.678,0.181,0.141,133
2024-01-09,0.422,0.627,0.216,0.158,133
2024-01-10,0.415,0.624,0.217,0.159,144
2024-01-11,0.382,0.615,0.224,0.162,123
2024-01-12,0.321,0.596,0.236,0.168,104
2024-01-13,0.313,0.594,0.237,0.169,147
2024-01-14,0.27,0.581,0.246,0.173,144
2024-01-15,0.206,0.562,0.259,0.179,90
2024-01-16,0.115,0.535,0.277,0.188,129
2024-01-17,-0.205,0.438,0.341,0.221,117
2024-01-18,-0.234,0.43,0.347,0.223,137
2024-01-19,-0.463,0.361,0.393,0.246,146
2024-01-20,-0.154,0.454,0.331,0.215,84
2024-01-21,-0.359,0.392,0.372,0.236,120
2024-01-22,-0.433,0.37,0.387,0.243,123
2024-01-23,-0.537,0.339,0.407,0.254,104
2024-01-24,-0.386,0.384,0.377,0.239,118
2024-01-25,-0.49,0.353,0.398,0.249,92
2024-01-26,-0.41,0.377,0.382,0.241,120
2024-01-27,-0.251,0.425,0.35,0.225,124
2024-01-28,-0.461,0.362,0.392,0.246,105
2024-01-29,-0.383,0.385,0.377,0.238,86
2024-01-30,-0.202,0.439,0.34,0.22,80
2024-01-31,-0.183,0.445,0.337,0.218,147
